,total_bill,tip,sex,smoker,day,time,size,mycal
0,16.99,1.01,Female,No,Sun,Dinner,2,17.159899999999997
1,10.34,1.66,Male,No,Sun,Dinner,3,17.1644
2,21.01,3.5,Male,No,Sun,Dinner,3,73.53500000000001
3,23.68,3.31,Male,No,Sun,Dinner,2,78.3808
4,24.59,3.61,Female,No,Sun,Dinner,4,88.76989999999999
5,25.29,4.71,Male,No,Sun,Dinner,4,119.1159
6,8.77,2.0,Male,No,Sun,Dinner,2,17.54
7,26.88,3.12,Male,No,Sun,Dinner,4,83.8656
8,15.04,1.96,Male,No,Sun,Dinner,2,29.478399999999997
9,14.78,3.23,Male,No,Sun,Dinner,2,47.739399999999996
10,10.27,1.71,Male,No,Sun,Dinner,2,17.5617
11,35.26,5.0,Female,No,Sun,Dinner,4,176.29999999999998
12,15.42,1.57,Male,No,Sun,Dinner,2,24.209400000000002
13,18.43,3.0,Male,No,Sun,Dinner,4,55.29
14,14.83,3.02,Female,No,Sun,Dinner,2,44.7866
15,21.58,3.92,Male,No,Sun,Dinner,2,84.5936
16,10.33,1.67,Female,No,Sun,Dinner,3,17.2511
17,16.29,3.71,Male,No,Sun,Dinner,3,60.4359
18,16.97,3.5,Female,No,Sun,Dinner,3,59.394999999999996
19,20.65,3.35,Male,No,Sat,Dinner,3,69.1775
20,17.92,4.08,Male,No,Sat,Dinner,2,73.1136
21,20.29,2.75,Female,No,Sat,Dinner,2,55.7975
22,15.77,2.23,Female,No,Sat,Dinner,2,35.1671
23,39.42,7.58,Male,No,Sat,Dinner,4,298.8036
24,19.82,3.18,Male,No,Sat,Dinner,2,63.02760000000001
25,17.81,2.34,Male,No,Sat,Dinner,4,41.675399999999996
26,13.37,2.0,Male,No,Sat,Dinner,2,26.74
27,12.69,2.0,Male,No,Sat,Dinner,2,25.38
28,21.7,4.3,Male,No,Sat,Dinner,2,93.30999999999999
29,19.65,3.0,Female,No,Sat,Dinner,2,58.949999999999996
30,9.55,1.45,Male,No,Sat,Dinner,2,13.8475
31,18.35,2.5,Male,No,Sat,Dinner,4,45.875
32,15.06,3.0,Female,No,Sat,Dinner,2,45.18
33,20.69,2.45,Female,No,Sat,Dinner,4,50.69050000000001
34,17.78,3.27,Male,No,Sat,Dinner,2,58.140600000000006
35,24.06,3.6,Male,No,Sat,Dinner,3,86.616
36,16.31,2.0,Male,No,Sat,Dinner,3,32.62
37,16.93,3.07,Female,No,Sat,Dinner,3,51.9751
38,18.69,2.31,Male,No,Sat,Dinner,3,43.1739
39,31.27,5.0,Male,No,Sat,Dinner,3,156.35
40,16.04,2.24,Male,No,Sat,Dinner,3,35.9296
41,17.46,2.54,Male,No,Sun,Dinner,2,44.348400000000005
42,13.94,3.06,Male,No,Sun,Dinner,2,42.6564
43,9.68,1.32,Male,No,Sun,Dinner,2,12.7776
44,30.4,5.6,Male,No,Sun,Dinner,4,170.23999999999998
45,18.29,3.0,Male,No,Sun,Dinner,2,54.87
46,22.23,5.0,Male,No,Sun,Dinner,2,111.15
47,32.4,6.0,Male,No,Sun,Dinner,4,194.39999999999998
48,28.55,2.05,Male,No,Sun,Dinner,3,58.527499999999996
49,18.04,3.0,Male,No,Sun,Dinner,2,54.12
50,12.54,2.5,Male,No,Sun,Dinner,2,31.349999999999998
51,10.29,2.6,Female,No,Sun,Dinner,2,26.753999999999998
52,34.81,5.2,Female,No,Sun,Dinner,4,181.01200000000003
53,9.94,1.56,Male,No,Sun,Dinner,2,15.5064
54,25.56,4.34,Male,No,Sun,Dinner,4,110.93039999999999
55,19.49,3.51,Male,No,Sun,Dinner,2,68.4099
56,38.01,3.0,Male,Yes,Sat,Dinner,4,114.03
57,26.41,1.5,Female,No,Sat,Dinner,2,39.615
58,11.24,1.76,Male,Yes,Sat,Dinner,2,19.7824
59,48.27,6.73,Male,No,Sat,Dinner,4,324.85710000000006
60,20.29,3.21,Male,Yes,Sat,Dinner,2,65.1309
61,13.81,2.0,Male,Yes,Sat,Dinner,2,27.62
62,11.02,1.98,Male,Yes,Sat,Dinner,2,21.819599999999998
63,18.29,3.76,Male,Yes,Sat,Dinner,4,68.7704
64,17.59,2.64,Male,No,Sat,Dinner,3,46.4376
65,20.08,3.15,Male,No,Sat,Dinner,3,63.251999999999995
66,16.45,2.47,Female,No,Sat,Dinner,2,40.6315
67,3.07,1.0,Female,Yes,Sat,Dinner,1,3.07
68,20.23,2.01,Male,No,Sat,Dinner,2,40.662299999999995
69,15.01,2.09,Male,Yes,Sat,Dinner,2,31.3709
70,12.02,1.97,Male,No,Sat,Dinner,2,23.679399999999998
71,17.07,3.0,Female,No,Sat,Dinner,3,51.21
72,26.86,3.14,Female,Yes,Sat,Dinner,2,84.3404
73,25.28,5.0,Female,Yes,Sat,Dinner,2,126.4
74,14.73,2.2,Female,No,Sat,Dinner,2,32.406000000000006
75,10.51,1.25,Male,No,Sat,Dinner,2,13.1375
76,17.92,3.08,Male,Yes,Sat,Dinner,2,55.1936
77,27.2,4.0,Male,No,Thur,Lunch,4,108.8
78,22.76,3.0,Male,No,Thur,Lunch,2,68.28
79,17.29,2.71,Male,No,Thur,Lunch,2,46.8559
80,19.44,3.0,Male,Yes,Thur,Lunch,2,58.32000000000001
81,16.66,3.4,Male,No,Thur,Lunch,2,56.644
82,10.07,1.83,Female,No,Thur,Lunch,1,18.4281
83,32.68,5.0,Male,Yes,Thur,Lunch,2,163.4
84,15.98,2.03,Male,No,Thur,Lunch,2,32.4394
85,34.83,5.17,Female,No,Thur,Lunch,4,180.0711
86,13.03,2.0,Male,No,Thur,Lunch,2,26.06
87,18.28,4.0,Male,No,Thur,Lunch,2,73.12
88,24.71,5.85,Male,No,Thur,Lunch,2,144.55349999999999
89,21.16,3.0,Male,No,Thur,Lunch,2,63.480000000000004
90,28.97,3.0,Male,Yes,Fri,Dinner,2,86.91
91,22.49,3.5,Male,No,Fri,Dinner,2,78.71499999999999
92,5.75,1.0,Female,Yes,Fri,Dinner,2,5.75
93,16.32,4.3,Female,Yes,Fri,Dinner,2,70.176
94,22.75,3.25,Female,No,Fri,Dinner,2,73.9375
95,40.17,4.73,Male,Yes,Fri,Dinner,4,190.00410000000002
96,27.28,4.0,Male,Yes,Fri,Dinner,2,109.12
97,12.03,1.5,Male,Yes,Fri,Dinner,2,18.044999999999998
98,21.01,3.0,Male,Yes,Fri,Dinner,2,63.03
99,12.46,1.5,Male,No,Fri,Dinner,2,18.69
100,11.35,2.5,Female,Yes,Fri,Dinner,2,28.375
101,15.38,3.0,Female,Yes,Fri,Dinner,2,46.14
102,44.3,2.5,Female,Yes,Sat,Dinner,3,110.75
103,22.42,3.48,Female,Yes,Sat,Dinner,2,78.0216
104,20.92,4.08,Female,No,Sat,Dinner,2,85.35360000000001
105,15.36,1.64,Male,Yes,Sat,Dinner,2,25.190399999999997
106,20.49,4.06,Male,Yes,Sat,Dinner,2,83.18939999999999
107,25.21,4.29,Male,Yes,Sat,Dinner,2,108.15090000000001
108,18.24,3.76,Male,No,Sat,Dinner,2,68.58239999999999
109,14.31,4.0,Female,Yes,Sat,Dinner,2,57.24
110,14.0,3.0,Male,No,Sat,Dinner,2,42.0
111,7.25,1.0,Female,No,Sat,Dinner,1,7.25
112,38.07,4.0,Male,No,Sun,Dinner,3,152.28
113,23.95,2.55,Male,No,Sun,Dinner,2,61.07249999999999
114,25.71,4.0,Female,No,Sun,Dinner,3,102.84
115,17.31,3.5,Female,No,Sun,Dinner,2,60.584999999999994
116,29.93,5.07,Male,No,Sun,Dinner,4,151.7451
117,10.65,1.5,Female,No,Thur,Lunch,2,15.975000000000001
118,12.43,1.8,Female,No,Thur,Lunch,2,22.374
119,24.08,2.92,Female,No,Thur,Lunch,4,70.3136
120,11.69,2.31,Male,No,Thur,Lunch,2,27.003899999999998
121,13.42,1.68,Female,No,Thur,Lunch,2,22.5456
122,14.26,2.5,Male,No,Thur,Lunch,2,35.65
123,15.95,2.0,Male,No,Thur,Lunch,2,31.9
124,12.48,2.52,Female,No,Thur,Lunch,2,31.4496
125,29.8,4.2,Female,No,Thur,Lunch,6,125.16000000000001
126,8.52,1.48,Male,No,Thur,Lunch,2,12.609599999999999
127,14.52,2.0,Female,No,Thur,Lunch,2,29.04
128,11.38,2.0,Female,No,Thur,Lunch,2,22.76
129,22.82,2.18,Male,No,Thur,Lunch,3,49.747600000000006
130,19.08,1.5,Male,No,Thur,Lunch,2,28.619999999999997
131,20.27,2.83,Female,No,Thur,Lunch,2,57.3641
132,11.17,1.5,Female,No,Thur,Lunch,2,16.755
133,12.26,2.0,Female,No,Thur,Lunch,2,24.52
134,18.26,3.25,Female,No,Thur,Lunch,2,59.345000000000006
135,8.51,1.25,Female,No,Thur,Lunch,2,10.6375
136,10.33,2.0,Female,No,Thur,Lunch,2,20.66
137,14.15,2.0,Female,No,Thur,Lunch,2,28.3
138,16.0,2.0,Male,Yes,Thur,Lunch,2,32.0
139,13.16,2.75,Female,No,Thur,Lunch,2,36.19
140,17.47,3.5,Female,No,Thur,Lunch,2,61.144999999999996
141,34.3,6.7,Male,No,Thur,Lunch,6,229.80999999999997
142,41.19,5.0,Male,No,Thur,Lunch,5,205.95
143,27.05,5.0,Female,No,Thur,Lunch,6,135.25
144,16.43,2.3,Female,No,Thur,Lunch,2,37.788999999999994
145,8.35,1.5,Female,No,Thur,Lunch,2,12.524999999999999
146,18.64,1.36,Female,No,Thur,Lunch,3,25.350400000000004
147,11.87,1.63,Female,No,Thur,Lunch,2,19.3481
148,9.78,1.73,Male,No,Thur,Lunch,2,16.9194
149,7.51,2.0,Male,No,Thur,Lunch,2,15.02
150,14.07,2.5,Male,No,Sun,Dinner,2,35.175
151,13.13,2.0,Male,No,Sun,Dinner,2,26.26
152,17.26,2.74,Male,No,Sun,Dinner,3,47.29240000000001
153,24.55,2.0,Male,No,Sun,Dinner,4,49.1
154,19.77,2.0,Male,No,Sun,Dinner,4,39.54
155,29.85,5.14,Female,No,Sun,Dinner,5,153.429
156,48.17,5.0,Male,No,Sun,Dinner,6,240.85000000000002
157,25.0,3.75,Female,No,Sun,Dinner,4,93.75
158,13.39,2.61,Female,No,Sun,Dinner,2,34.9479
159,16.49,2.0,Male,No,Sun,Dinner,4,32.98
160,21.5,3.5,Male,No,Sun,Dinner,4,75.25
161,12.66,2.5,Male,No,Sun,Dinner,2,31.65
162,16.21,2.0,Female,No,Sun,Dinner,3,32.42
163,13.81,2.0,Male,No,Sun,Dinner,2,27.62
164,17.51,3.0,Female,Yes,Sun,Dinner,2,52.53
165,24.52,3.48,Male,No,Sun,Dinner,3,85.3296
166,20.76,2.24,Male,No,Sun,Dinner,2,46.50240000000001
167,31.71,4.5,Male,No,Sun,Dinner,4,142.695
168,10.59,1.61,Female,Yes,Sat,Dinner,2,17.0499
169,10.63,2.0,Female,Yes,Sat,Dinner,2,21.26
170,50.81,10.0,Male,Yes,Sat,Dinner,3,508.1
171,15.81,3.16,Male,Yes,Sat,Dinner,2,49.9596
172,7.25,5.15,Male,Yes,Sun,Dinner,2,37.337500000000006
173,31.85,3.18,Male,Yes,Sun,Dinner,2,101.28300000000002
174,16.82,4.0,Male,Yes,Sun,Dinner,2,67.28
175,32.9,3.11,Male,Yes,Sun,Dinner,2,102.31899999999999
176,17.89,2.0,Male,Yes,Sun,Dinner,2,35.78
177,14.48,2.0,Male,Yes,Sun,Dinner,2,28.96
178,9.6,4.0,Female,Yes,Sun,Dinner,2,38.4
179,34.63,3.55,Male,Yes,Sun,Dinner,2,122.93650000000001
180,34.65,3.68,Male,Yes,Sun,Dinner,4,127.512
181,23.33,5.65,Male,Yes,Sun,Dinner,2,131.8145
182,45.35,3.5,Male,Yes,Sun,Dinner,3,158.725
183,23.17,6.5,Male,Yes,Sun,Dinner,4,150.60500000000002
184,40.55,3.0,Male,Yes,Sun,Dinner,2,121.64999999999999
185,20.69,5.0,Male,No,Sun,Dinner,5,103.45
186,20.9,3.5,Female,Yes,Sun,Dinner,3,73.14999999999999
187,30.46,2.0,Male,Yes,Sun,Dinner,5,60.92
188,18.15,3.5,Female,Yes,Sun,Dinner,3,63.52499999999999
189,23.1,4.0,Male,Yes,Sun,Dinner,3,92.4
190,15.69,1.5,Male,Yes,Sun,Dinner,2,23.535
191,19.81,4.19,Female,Yes,Thur,Lunch,2,83.0039
192,28.44,2.56,Male,Yes,Thur,Lunch,2,72.80640000000001
193,15.48,2.02,Male,Yes,Thur,Lunch,2,31.2696
194,16.58,4.0,Male,Yes,Thur,Lunch,2,66.32
195,7.56,1.44,Male,No,Thur,Lunch,2,10.886399999999998
196,10.34,2.0,Male,Yes,Thur,Lunch,2,20.68
197,43.11,5.0,Female,Yes,Thur,Lunch,4,215.55
198,13.0,2.0,Female,Yes,Thur,Lunch,2,26.0
199,13.51,2.0,Male,Yes,Thur,Lunch,2,27.02
200,18.71,4.0,Male,Yes,Thur,Lunch,3,74.84
201,12.74,2.01,Female,Yes,Thur,Lunch,2,25.6074
202,13.0,2.0,Female,Yes,Thur,Lunch,2,26.0
203,16.4,2.5,Female,Yes,Thur,Lunch,2,41.0
204,20.53,4.0,Male,Yes,Thur,Lunch,4,82.12
205,16.47,3.23,Female,Yes,Thur,Lunch,3,53.1981
206,26.59,3.41,Male,Yes,Sat,Dinner,3,90.67190000000001
207,38.73,3.0,Male,Yes,Sat,Dinner,4,116.19
208,24.27,2.03,Male,Yes,Sat,Dinner,2,49.2681
209,12.76,2.23,Female,Yes,Sat,Dinner,2,28.4548
210,30.06,2.0,Male,Yes,Sat,Dinner,3,60.12
211,25.89,5.16,Male,Yes,Sat,Dinner,4,133.5924
212,48.33,9.0,Male,No,Sat,Dinner,4,434.96999999999997
213,13.27,2.5,Female,Yes,Sat,Dinner,2,33.175
214,28.17,6.5,Female,Yes,Sat,Dinner,3,183.10500000000002
215,12.9,1.1,Female,Yes,Sat,Dinner,2,14.190000000000001
216,28.15,3.0,Male,Yes,Sat,Dinner,5,84.44999999999999
217,11.59,1.5,Male,Yes,Sat,Dinner,2,17.384999999999998
218,7.74,1.44,Male,Yes,Sat,Dinner,2,11.1456
219,30.14,3.09,Female,Yes,Sat,Dinner,4,93.1326
220,12.16,2.2,Male,Yes,Fri,Lunch,2,26.752000000000002
221,13.42,3.48,Female,Yes,Fri,Lunch,2,46.7016
222,8.58,1.92,Male,Yes,Fri,Lunch,1,16.4736
223,15.98,3.0,Female,No,Fri,Lunch,3,47.94
224,13.42,1.58,Male,Yes,Fri,Lunch,2,21.2036
225,16.27,2.5,Female,Yes,Fri,Lunch,2,40.675
226,10.09,2.0,Female,Yes,Fri,Lunch,2,20.18
227,20.45,3.0,Male,No,Sat,Dinner,4,61.349999999999994
228,13.28,2.72,Male,No,Sat,Dinner,2,36.1216
229,22.12,2.88,Female,Yes,Sat,Dinner,2,63.705600000000004
230,24.01,2.0,Male,Yes,Sat,Dinner,4,48.02
231,15.69,3.0,Male,Yes,Sat,Dinner,3,47.07
232,11.61,3.39,Male,No,Sat,Dinner,2,39.3579
233,10.77,1.47,Male,No,Sat,Dinner,2,15.8319
234,15.53,3.0,Male,Yes,Sat,Dinner,2,46.589999999999996
235,10.07,1.25,Male,No,Sat,Dinner,2,12.5875
236,12.6,1.0,Male,Yes,Sat,Dinner,2,12.6
237,32.83,1.17,Male,Yes,Sat,Dinner,2,38.4111
238,35.83,4.67,Female,No,Sat,Dinner,3,167.3261
239,29.03,5.92,Male,No,Sat,Dinner,3,171.8576
240,27.18,2.0,Female,Yes,Sat,Dinner,2,54.36
241,22.67,2.0,Male,Yes,Sat,Dinner,2,45.34
242,17.82,1.75,Male,No,Sat,Dinner,2,31.185000000000002
243,18.78,3.0,Female,No,Thur,Dinner,2,56.34
